Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4421,0.3108,0.2014,0.3108,0.3968,0.3992,0.2844,0.3992
2,0.3741,0.4524,0.305,0.3816,0.344,0.5189,0.3928,0.4591
3,0.3353,0.5161,0.3694,0.4264,0.3207,0.5381,0.4317,0.4854
4,0.3154,0.5479,0.4102,0.4568,0.3084,0.5512,0.4559,0.5019
5,0.3021,0.5724,0.4404,0.4799,0.3014,0.5638,0.4766,0.5142
6,0.2943,0.5856,0.4636,0.4975,0.2966,0.576,0.4927,0.5245
7,0.2867,0.6012,0.4819,0.5123,0.2938,0.5677,0.5007,0.5307
8,0.2776,0.6149,0.4979,0.5252,0.2902,0.579,0.5084,0.5367
9,0.269,0.6372,0.5127,0.5376,0.2877,0.5812,0.5154,0.5417
10,0.2646,0.6465,0.5256,0.5485,0.286,0.5869,0.5215,0.5462
11,0.2575,0.6558,0.5368,0.5583,0.2849,0.5903,0.5271,0.5502
12,0.2509,0.6723,0.5477,0.5678,0.2837,0.5899,0.5309,0.5535
13,0.245,0.6822,0.5578,0.5766,0.284,0.5838,0.5344,0.5558
14,0.239,0.6907,0.5669,0.5847,0.2825,0.5934,0.5377,0.5585
15,0.2297,0.7071,0.5759,0.5929,0.2822,0.5886,0.5404,0.5605
16,0.2267,0.7148,0.5843,0.6005,0.2832,0.5869,0.5428,0.5622
17,0.2207,0.7289,0.5925,0.608,0.2827,0.5834,0.5448,0.5634
18,0.2165,0.7343,0.6003,0.6151,0.2839,0.5873,0.5466,0.5647
19,0.2096,0.7479,0.6079,0.6221,0.284,0.596,0.5485,0.5664
20,0.2036,0.7583,0.6153,0.6289,0.2839,0.5899,0.55,0.5676
21,0.1981,0.7676,0.6224,0.6355,0.2857,0.5916,0.5513,0.5687
22,0.1949,0.7748,0.6292,0.6418,0.285,0.596,0.5529,0.57
23,0.1877,0.7838,0.6358,0.648,0.2877,0.5938,0.5542,0.571
24,0.1841,0.7917,0.6422,0.654,0.2889,0.5929,0.5554,0.5719
25,0.1777,0.8046,0.6487,0.66,0.2917,0.5886,0.5562,0.5726
26,0.1724,0.8091,0.6547,0.6657,0.2916,0.5943,0.5572,0.5734
27,0.1687,0.8163,0.6606,0.6713,0.2941,0.5951,0.5582,0.5742
28,0.1642,0.8247,0.6665,0.6768,0.296,0.5947,0.559,0.5749
29,0.1601,0.8309,0.6721,0.6821,0.2987,0.5873,0.5597,0.5754
30,0.1531,0.8462,0.6779,0.6876,0.3006,0.5912,0.5603,0.5759
