Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4413,0.3123,0.2039,0.3123,0.3973,0.4001,0.2901,0.4001
2,0.3726,0.4518,0.309,0.3821,0.3469,0.5046,0.3873,0.4523
3,0.3337,0.5222,0.3751,0.4288,0.3242,0.5181,0.4216,0.4742
4,0.3115,0.5634,0.4178,0.4625,0.3172,0.505,0.4352,0.4819
5,0.2948,0.5929,0.4486,0.4885,0.3204,0.5054,0.4478,0.4866
6,0.2851,0.6056,0.4716,0.5081,0.3216,0.4993,0.4548,0.4888
7,0.2766,0.6255,0.4909,0.5248,0.3247,0.5085,0.4605,0.4916
8,0.2675,0.6365,0.5071,0.5388,0.3249,0.5146,0.4655,0.4944
9,0.2587,0.6569,0.5222,0.5519,0.3255,0.5181,0.4713,0.4971
10,0.2545,0.665,0.5353,0.5632,0.3282,0.5316,0.477,0.5005
11,0.2475,0.6734,0.5467,0.5732,0.3288,0.5337,0.4818,0.5035
12,0.241,0.6902,0.5577,0.583,0.3301,0.5276,0.4847,0.5056
13,0.2348,0.6997,0.5679,0.592,0.3337,0.5433,0.4891,0.5085
14,0.2291,0.7097,0.5772,0.6004,0.3333,0.5359,0.492,0.5104
15,0.2203,0.7239,0.5865,0.6086,0.3352,0.5433,0.4953,0.5126
16,0.217,0.731,0.5949,0.6163,0.3376,0.5477,0.4981,0.5148
17,0.2112,0.7448,0.6032,0.6238,0.3383,0.5477,0.5009,0.5167
18,0.207,0.7462,0.6108,0.6306,0.3404,0.5459,0.5031,0.5184
19,0.2005,0.7614,0.6184,0.6375,0.3417,0.5424,0.5048,0.5196
20,0.1948,0.7749,0.626,0.6444,0.3437,0.5472,0.5068,0.521
21,0.1893,0.7783,0.6329,0.6507,0.3457,0.5411,0.508,0.522
22,0.1857,0.7894,0.6398,0.6571,0.3476,0.5525,0.5098,0.5234
23,0.1793,0.7973,0.6465,0.6631,0.3504,0.5455,0.5113,0.5243
24,0.1755,0.8041,0.6528,0.669,0.3524,0.5516,0.5128,0.5254
25,0.1695,0.8162,0.6593,0.6749,0.3547,0.5459,0.5137,0.5263
26,0.1643,0.8193,0.6653,0.6805,0.3572,0.5516,0.515,0.5272
27,0.1606,0.8296,0.6712,0.686,0.3598,0.5481,0.516,0.528
28,0.1569,0.8336,0.677,0.6913,0.3639,0.5533,0.517,0.5289
29,0.1526,0.8417,0.6826,0.6964,0.3666,0.549,0.5177,0.5296
30,0.1461,0.8553,0.6883,0.7017,0.3705,0.5481,0.5184,0.5302
