Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4416,0.311,0.2019,0.311,0.3965,0.3992,0.288,0.3992
2,0.3738,0.4505,0.3054,0.3808,0.3443,0.5133,0.3883,0.4562
3,0.3351,0.5175,0.3699,0.4263,0.3201,0.5455,0.4325,0.486
4,0.3144,0.5522,0.4119,0.4578,0.3073,0.5594,0.4598,0.5044
5,0.2995,0.578,0.4425,0.4818,0.3018,0.5677,0.4809,0.517
6,0.2898,0.5936,0.4661,0.5005,0.3014,0.5734,0.4955,0.5264
7,0.2806,0.6129,0.4857,0.5165,0.3028,0.5651,0.5028,0.5319
8,0.2711,0.6277,0.5025,0.5304,0.3018,0.5673,0.5083,0.5364
9,0.2623,0.6488,0.518,0.5436,0.3029,0.5742,0.5142,0.5406
10,0.2579,0.6613,0.5319,0.5554,0.3019,0.5755,0.519,0.5441
11,0.2508,0.6694,0.5438,0.5657,0.3031,0.576,0.5231,0.547
12,0.2442,0.6825,0.5549,0.5755,0.3036,0.5773,0.5259,0.5495
13,0.2381,0.6937,0.5653,0.5846,0.3042,0.5773,0.5291,0.5516
14,0.2322,0.7022,0.5748,0.593,0.3056,0.5838,0.5319,0.5539
15,0.223,0.7183,0.584,0.6013,0.3052,0.5851,0.5347,0.556
16,0.2201,0.7287,0.5927,0.6093,0.3061,0.5781,0.5366,0.5574
17,0.2143,0.7391,0.6011,0.6169,0.3069,0.5851,0.539,0.559
18,0.2104,0.7424,0.6087,0.6239,0.309,0.5803,0.5406,0.5602
19,0.2032,0.7563,0.6163,0.6309,0.3096,0.5842,0.5421,0.5615
20,0.1974,0.7668,0.6237,0.6377,0.3109,0.5899,0.5439,0.5629
21,0.192,0.7752,0.6308,0.6442,0.3132,0.5851,0.5451,0.5639
22,0.1887,0.7843,0.6377,0.6506,0.3128,0.5895,0.5467,0.5651
23,0.1815,0.7919,0.6443,0.6567,0.3159,0.586,0.5479,0.566
24,0.1782,0.7997,0.6507,0.6627,0.3183,0.5834,0.5489,0.5667
25,0.172,0.8122,0.6571,0.6687,0.3208,0.5795,0.5495,0.5672
26,0.1671,0.8193,0.6632,0.6744,0.3217,0.5899,0.5505,0.5681
27,0.1631,0.8235,0.669,0.68,0.3246,0.5825,0.5514,0.5686
28,0.1591,0.8336,0.6749,0.6855,0.3276,0.5873,0.5522,0.5693
29,0.1548,0.8383,0.6805,0.6907,0.3299,0.5816,0.5527,0.5697
30,0.1481,0.8513,0.6862,0.6961,0.3312,0.5764,0.5531,0.57
