Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4422,0.3109,0.201,0.3109,0.3973,0.397,0.2811,0.397
2,0.3741,0.4516,0.3048,0.3812,0.3446,0.515,0.3898,0.456
3,0.3353,0.5162,0.3695,0.4262,0.3207,0.5424,0.432,0.4848
4,0.3156,0.5474,0.4102,0.4565,0.3085,0.5525,0.457,0.5017
5,0.3023,0.573,0.4405,0.4798,0.3018,0.5651,0.4771,0.5144
6,0.2944,0.5857,0.4637,0.4975,0.2968,0.5734,0.4921,0.5242
7,0.2868,0.602,0.4823,0.5124,0.2941,0.5699,0.5005,0.5308
8,0.2777,0.6144,0.4981,0.5251,0.2899,0.5838,0.5089,0.5374
9,0.269,0.636,0.5127,0.5375,0.288,0.5795,0.5155,0.5421
10,0.2648,0.6458,0.5256,0.5483,0.2856,0.5877,0.5215,0.5466
11,0.2577,0.6565,0.5369,0.5581,0.2844,0.5977,0.5276,0.5513
12,0.2509,0.6732,0.5479,0.5677,0.2835,0.5869,0.5312,0.5542
13,0.245,0.6808,0.5578,0.5764,0.2832,0.5864,0.5347,0.5567
14,0.2389,0.6902,0.5669,0.5846,0.2826,0.5964,0.5381,0.5595
15,0.2296,0.7076,0.5759,0.5928,0.2818,0.596,0.5414,0.562
16,0.2266,0.7154,0.5843,0.6004,0.2823,0.5964,0.5442,0.5641
17,0.2205,0.7286,0.5926,0.608,0.2819,0.5938,0.5468,0.5659
18,0.2164,0.7328,0.6002,0.6149,0.2831,0.5934,0.5488,0.5674
19,0.2095,0.7455,0.6077,0.6218,0.2833,0.5964,0.5506,0.5689
20,0.2037,0.7586,0.6151,0.6286,0.2837,0.5969,0.5524,0.5703
21,0.1979,0.7656,0.6222,0.6351,0.2852,0.5938,0.5537,0.5714
22,0.1947,0.7748,0.629,0.6415,0.2842,0.5951,0.5552,0.5725
23,0.1875,0.7827,0.6356,0.6476,0.2871,0.596,0.5565,0.5735
24,0.1839,0.7922,0.642,0.6536,0.2882,0.5977,0.5578,0.5746
25,0.1776,0.8039,0.6484,0.6597,0.291,0.5908,0.5586,0.5752
26,0.1724,0.8082,0.6545,0.6654,0.2912,0.599,0.5597,0.5761
27,0.1685,0.8176,0.6604,0.671,0.2936,0.5943,0.5606,0.5768
28,0.1643,0.8259,0.6663,0.6765,0.2961,0.5943,0.5613,0.5774
29,0.16,0.83,0.6719,0.6818,0.2984,0.5912,0.5619,0.5779
30,0.1532,0.8444,0.6776,0.6872,0.2995,0.5869,0.5623,0.5782
