Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4423,0.3104,0.2006,0.3104,0.3967,0.3909,0.2735,0.3909
2,0.3741,0.4513,0.3041,0.3808,0.3443,0.5059,0.3754,0.4484
3,0.3353,0.5159,0.369,0.4258,0.3208,0.539,0.4189,0.4786
4,0.3155,0.547,0.4097,0.4561,0.3085,0.5525,0.447,0.4971
5,0.3022,0.5736,0.4402,0.4796,0.3017,0.566,0.4697,0.5108
6,0.2943,0.5862,0.4636,0.4974,0.297,0.5703,0.4859,0.5208
7,0.2867,0.6016,0.4821,0.5123,0.2949,0.5633,0.4942,0.5268
8,0.2777,0.6134,0.4978,0.5249,0.2899,0.5834,0.5035,0.5339
9,0.269,0.6351,0.5123,0.5372,0.289,0.5751,0.5103,0.5385
10,0.2647,0.6461,0.5253,0.548,0.2851,0.5873,0.5168,0.5434
11,0.2577,0.6574,0.5368,0.558,0.284,0.5921,0.5228,0.5478
12,0.2509,0.6736,0.5478,0.5676,0.2842,0.5864,0.5268,0.551
13,0.245,0.6799,0.5576,0.5763,0.282,0.5938,0.5313,0.5543
14,0.2389,0.6897,0.5666,0.5844,0.2828,0.5951,0.5349,0.5572
15,0.2297,0.7084,0.5758,0.5926,0.2813,0.5973,0.5385,0.5599
16,0.2267,0.7164,0.5842,0.6004,0.2815,0.5969,0.5415,0.5622
17,0.2206,0.7277,0.5924,0.6079,0.2816,0.5947,0.5441,0.5641
18,0.2165,0.7331,0.6001,0.6148,0.2831,0.5938,0.5463,0.5658
19,0.2095,0.7467,0.6076,0.6218,0.2834,0.5925,0.548,0.5672
20,0.2038,0.7587,0.6151,0.6286,0.2835,0.5951,0.5497,0.5686
21,0.1981,0.7662,0.6221,0.6352,0.2857,0.5951,0.5511,0.5698
22,0.1947,0.7728,0.6289,0.6414,0.2833,0.599,0.5529,0.5712
23,0.1876,0.781,0.6354,0.6475,0.2867,0.5973,0.5543,0.5723
24,0.184,0.7926,0.6418,0.6535,0.2879,0.5977,0.5557,0.5734
25,0.1777,0.804,0.6483,0.6596,0.2903,0.5956,0.5566,0.5742
26,0.1724,0.8108,0.6544,0.6654,0.2901,0.6008,0.5579,0.5753
27,0.1687,0.8168,0.6603,0.671,0.2918,0.5943,0.5589,0.576
28,0.1646,0.8244,0.6662,0.6765,0.2945,0.5995,0.5599,0.5768
29,0.16,0.8304,0.6718,0.6818,0.2958,0.5947,0.5606,0.5774
30,0.1533,0.845,0.6775,0.6872,0.298,0.5925,0.5614,0.5779
