Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4422,0.3106,0.201,0.3106,0.3973,0.397,0.2815,0.397
2,0.3741,0.4513,0.3046,0.3809,0.3446,0.5137,0.3886,0.4554
3,0.3354,0.5166,0.3694,0.4262,0.3207,0.539,0.4294,0.4832
4,0.3156,0.5468,0.4099,0.4563,0.3085,0.5542,0.4552,0.501
5,0.3023,0.5724,0.4401,0.4795,0.3019,0.5642,0.476,0.5136
6,0.2944,0.5853,0.4634,0.4972,0.2969,0.5712,0.4909,0.5232
7,0.2869,0.6019,0.4819,0.5121,0.2943,0.5681,0.4993,0.5296
8,0.2778,0.615,0.4979,0.525,0.29,0.5825,0.5077,0.5362
9,0.2691,0.6366,0.5126,0.5374,0.2882,0.5777,0.514,0.5409
10,0.2648,0.6458,0.5255,0.5482,0.2855,0.5899,0.5205,0.5458
11,0.2578,0.6566,0.5369,0.5581,0.2843,0.5947,0.5264,0.5502
12,0.251,0.6724,0.5478,0.5676,0.2836,0.5903,0.5306,0.5535
13,0.2451,0.6811,0.5577,0.5763,0.283,0.5899,0.5345,0.5563
14,0.2389,0.6899,0.5667,0.5845,0.2828,0.596,0.538,0.5592
15,0.2297,0.7087,0.5759,0.5927,0.2819,0.5916,0.541,0.5613
16,0.2266,0.7162,0.5843,0.6005,0.2824,0.5973,0.5439,0.5636
17,0.2206,0.729,0.5926,0.608,0.2822,0.5934,0.5465,0.5653
18,0.2164,0.7325,0.6002,0.6149,0.2834,0.5951,0.5487,0.567
19,0.2096,0.7459,0.6077,0.6218,0.2837,0.5943,0.5504,0.5684
20,0.2036,0.7591,0.6152,0.6287,0.2844,0.5969,0.5522,0.5699
21,0.1979,0.7645,0.6221,0.6352,0.286,0.5921,0.5533,0.5709
22,0.1946,0.7744,0.6289,0.6415,0.2846,0.5951,0.5548,0.572
23,0.1874,0.7841,0.6356,0.6477,0.2874,0.5938,0.5561,0.573
24,0.1839,0.7906,0.6419,0.6536,0.2888,0.5973,0.5574,0.574
25,0.1774,0.8054,0.6484,0.6597,0.2915,0.5929,0.5583,0.5747
26,0.1722,0.8096,0.6545,0.6655,0.2917,0.5943,0.5592,0.5755
27,0.1685,0.8184,0.6605,0.6711,0.2941,0.5934,0.5602,0.5761
28,0.1643,0.8241,0.6663,0.6766,0.2965,0.5956,0.561,0.5768
29,0.16,0.8282,0.6718,0.6818,0.2986,0.5956,0.5617,0.5775
30,0.1531,0.8459,0.6776,0.6873,0.3,0.5921,0.5624,0.578
