Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4423,0.31,0.2003,0.31,0.3985,0.4014,0.2854,0.4014
2,0.374,0.4518,0.3047,0.3809,0.3459,0.5215,0.3996,0.4615
3,0.3352,0.5169,0.3695,0.4262,0.3214,0.5424,0.4393,0.4885
4,0.3155,0.5481,0.4105,0.4567,0.3097,0.5525,0.4626,0.5045
5,0.3022,0.5728,0.4405,0.4799,0.303,0.5673,0.4827,0.517
6,0.2944,0.5858,0.4638,0.4976,0.2975,0.5768,0.4975,0.527
7,0.2867,0.6027,0.4825,0.5126,0.2942,0.5725,0.5059,0.5335
8,0.2777,0.6133,0.498,0.5252,0.2904,0.5834,0.5137,0.5397
9,0.2691,0.636,0.5127,0.5375,0.2881,0.5816,0.5202,0.5444
10,0.2647,0.6461,0.5256,0.5484,0.2864,0.5877,0.5258,0.5487
11,0.2577,0.6567,0.5369,0.5582,0.2852,0.5912,0.5309,0.5526
12,0.2509,0.6723,0.5478,0.5677,0.2833,0.5908,0.5346,0.5558
13,0.2451,0.6803,0.5577,0.5764,0.2845,0.5864,0.5379,0.5581
14,0.239,0.691,0.5668,0.5846,0.283,0.5982,0.5413,0.561
15,0.2298,0.7083,0.5759,0.5928,0.2831,0.5895,0.5439,0.5629
16,0.2267,0.7144,0.5842,0.6004,0.2837,0.5929,0.5464,0.5648
17,0.2207,0.7297,0.5925,0.608,0.2834,0.5899,0.5485,0.5662
18,0.2165,0.733,0.6001,0.615,0.2841,0.596,0.5506,0.5679
19,0.2096,0.7452,0.6076,0.6218,0.2845,0.5916,0.5521,0.5691
20,0.2037,0.7593,0.6151,0.6287,0.2843,0.5938,0.5536,0.5704
21,0.1981,0.7654,0.6221,0.6352,0.2859,0.5973,0.5549,0.5717
22,0.1947,0.775,0.6289,0.6416,0.2854,0.5999,0.5566,0.5729
23,0.1876,0.7818,0.6355,0.6477,0.2879,0.5916,0.5577,0.5738
24,0.1841,0.7914,0.6419,0.6536,0.2892,0.5969,0.5589,0.5747
25,0.1778,0.8043,0.6483,0.6597,0.2918,0.5908,0.5596,0.5754
26,0.1724,0.8101,0.6544,0.6655,0.2922,0.5908,0.5603,0.576
27,0.1686,0.817,0.6604,0.6711,0.2949,0.5947,0.5612,0.5766
28,0.1646,0.8221,0.6661,0.6765,0.2963,0.5921,0.5619,0.5772
29,0.1602,0.8292,0.6717,0.6817,0.2997,0.5903,0.5624,0.5777
30,0.1535,0.8454,0.6774,0.6872,0.3007,0.5864,0.5628,0.5779
