Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4423,0.3108,0.2013,0.3108,0.3976,0.3949,0.2786,0.3949
2,0.3741,0.4518,0.305,0.3813,0.3449,0.5133,0.3861,0.4541
3,0.3353,0.5165,0.3697,0.4264,0.3207,0.5429,0.4285,0.4837
4,0.3156,0.5471,0.4103,0.4566,0.3086,0.5533,0.4543,0.5011
5,0.3022,0.5728,0.4404,0.4798,0.302,0.5638,0.475,0.5136
6,0.2944,0.5859,0.4637,0.4975,0.2971,0.5721,0.4905,0.5234
7,0.2868,0.6012,0.4821,0.5123,0.2945,0.566,0.4987,0.5294
8,0.2777,0.6146,0.498,0.5251,0.2901,0.5825,0.5072,0.5361
9,0.269,0.6368,0.5127,0.5375,0.2886,0.5773,0.5139,0.5407
10,0.2648,0.6449,0.5255,0.5482,0.286,0.586,0.5198,0.5452
11,0.2577,0.6566,0.5368,0.5581,0.2848,0.5943,0.5258,0.5496
12,0.251,0.6734,0.5479,0.5677,0.2838,0.5895,0.5299,0.553
13,0.2451,0.6807,0.5578,0.5764,0.2837,0.5882,0.5336,0.5557
14,0.2389,0.691,0.5669,0.5846,0.2839,0.5934,0.5369,0.5584
15,0.2296,0.7076,0.576,0.5928,0.2828,0.5934,0.54,0.5607
16,0.2266,0.716,0.5844,0.6005,0.2831,0.5943,0.5428,0.5628
17,0.2206,0.7293,0.5927,0.6081,0.2826,0.5934,0.5453,0.5646
18,0.2165,0.7335,0.6003,0.615,0.2838,0.5929,0.5473,0.5662
19,0.2095,0.7465,0.6079,0.6219,0.2846,0.5956,0.5492,0.5677
20,0.2036,0.7592,0.6153,0.6288,0.2853,0.5938,0.5509,0.569
21,0.198,0.7649,0.6223,0.6353,0.2868,0.5921,0.5522,0.5701
22,0.1946,0.774,0.6291,0.6416,0.2856,0.6017,0.5541,0.5716
23,0.1875,0.7832,0.6357,0.6477,0.2884,0.5934,0.5554,0.5725
24,0.1839,0.7919,0.6421,0.6538,0.2898,0.5947,0.5567,0.5734
25,0.1775,0.8033,0.6485,0.6597,0.2924,0.5973,0.5577,0.5744
26,0.1724,0.8104,0.6546,0.6655,0.2933,0.5934,0.5586,0.5751
27,0.1684,0.818,0.6606,0.6712,0.2948,0.5973,0.5597,0.5759
28,0.1644,0.8245,0.6664,0.6767,0.2981,0.5977,0.5606,0.5767
29,0.1601,0.8294,0.672,0.6819,0.3008,0.5903,0.5611,0.5772
30,0.1533,0.8448,0.6777,0.6874,0.3013,0.5951,0.5619,0.5778
