Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4403,0.3131,0.2079,0.3131,0.3983,0.3931,0.2794,0.3931
2,0.3712,0.4495,0.3131,0.3813,0.3511,0.4989,0.3768,0.446
3,0.3339,0.5151,0.3769,0.4259,0.3275,0.5215,0.4137,0.4712
4,0.3142,0.5488,0.4168,0.4566,0.3157,0.5381,0.4362,0.4879
5,0.3008,0.5745,0.4463,0.4802,0.3093,0.5451,0.4533,0.4993
6,0.2925,0.5863,0.4683,0.4979,0.3054,0.5472,0.4655,0.5073
7,0.2846,0.605,0.4864,0.5132,0.3044,0.5507,0.4731,0.5135
8,0.275,0.6178,0.5019,0.5263,0.3017,0.5633,0.48,0.5198
9,0.2658,0.6372,0.5161,0.5386,0.3004,0.5594,0.4867,0.5242
10,0.2615,0.6515,0.5292,0.5499,0.2986,0.5773,0.4938,0.5295
11,0.2543,0.6622,0.5406,0.5601,0.2987,0.579,0.4999,0.534
12,0.2475,0.6736,0.5512,0.5696,0.2989,0.5786,0.5046,0.5377
13,0.2417,0.6842,0.561,0.5784,0.2994,0.576,0.5091,0.5406
14,0.2355,0.6968,0.5703,0.5868,0.3,0.5777,0.5126,0.5433
15,0.2262,0.7129,0.5794,0.5952,0.2996,0.5816,0.5163,0.5458
16,0.2232,0.7181,0.5877,0.6029,0.3002,0.5755,0.5188,0.5477
17,0.2175,0.7323,0.596,0.6105,0.3002,0.5829,0.522,0.5498
18,0.213,0.741,0.6039,0.6178,0.3026,0.5786,0.5242,0.5514
19,0.2061,0.7513,0.6115,0.6248,0.303,0.5873,0.5265,0.5533
20,0.2003,0.7634,0.6189,0.6317,0.303,0.5829,0.5286,0.5547
21,0.1947,0.7725,0.6261,0.6384,0.3063,0.5812,0.5299,0.556
22,0.1916,0.779,0.6329,0.6448,0.3042,0.5864,0.5318,0.5574
23,0.1845,0.7867,0.6395,0.651,0.3079,0.5816,0.5333,0.5584
24,0.1807,0.797,0.6459,0.6571,0.3099,0.5829,0.5347,0.5595
25,0.1748,0.8074,0.6523,0.6631,0.3132,0.5781,0.5355,0.5602
26,0.1694,0.8138,0.6584,0.6689,0.3128,0.586,0.5368,0.5612
27,0.1657,0.8196,0.6643,0.6745,0.3158,0.5803,0.5378,0.5619
28,0.1615,0.8278,0.6701,0.6799,0.3181,0.5838,0.5386,0.5627
29,0.1572,0.8353,0.6757,0.6853,0.3204,0.5825,0.5393,0.5634
30,0.1503,0.8465,0.6814,0.6907,0.3232,0.5786,0.5399,0.5639
