Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4415,0.3105,0.2023,0.3105,0.3973,0.3957,0.2831,0.3957
2,0.3736,0.4489,0.3055,0.3797,0.3457,0.5094,0.3826,0.4525
3,0.3346,0.5181,0.371,0.4258,0.3223,0.5381,0.4257,0.4811
4,0.3129,0.5523,0.413,0.4574,0.3131,0.5451,0.4497,0.4971
5,0.2973,0.5789,0.4441,0.4817,0.3113,0.566,0.4719,0.5108
6,0.2886,0.5901,0.4673,0.4998,0.3095,0.5664,0.4863,0.5201
7,0.2806,0.6089,0.4865,0.5154,0.3089,0.5651,0.4949,0.5265
8,0.2715,0.6199,0.5024,0.5284,0.3071,0.5799,0.5034,0.5332
9,0.2626,0.6446,0.5175,0.5413,0.3062,0.5712,0.5096,0.5374
10,0.2585,0.6556,0.5311,0.5528,0.3056,0.5847,0.5159,0.5421
11,0.2515,0.6627,0.5424,0.5628,0.3055,0.5808,0.5207,0.5457
12,0.2447,0.681,0.5537,0.5726,0.3051,0.5773,0.524,0.5483
13,0.2388,0.6887,0.5637,0.5816,0.3063,0.5851,0.528,0.5511
14,0.233,0.6983,0.573,0.5899,0.3065,0.5855,0.5312,0.5536
15,0.2237,0.7183,0.5824,0.5985,0.3066,0.5916,0.5347,0.5561
16,0.2206,0.7241,0.5909,0.6063,0.3076,0.5882,0.5373,0.5581
17,0.2147,0.7374,0.5993,0.614,0.3079,0.5873,0.5398,0.5598
18,0.2106,0.7425,0.6071,0.6212,0.3097,0.5882,0.5419,0.5614
19,0.2038,0.7537,0.6147,0.6281,0.3102,0.5908,0.5438,0.563
20,0.1982,0.765,0.6221,0.635,0.3109,0.5982,0.546,0.5647
21,0.1925,0.7758,0.6293,0.6417,0.3134,0.5886,0.5473,0.5659
22,0.1893,0.782,0.6361,0.6481,0.3122,0.589,0.5487,0.5669
23,0.1825,0.791,0.6427,0.6543,0.3156,0.5895,0.5499,0.5679
24,0.1786,0.801,0.6492,0.6604,0.3176,0.5899,0.5511,0.5688
25,0.1725,0.8109,0.6556,0.6664,0.3215,0.5851,0.5518,0.5695
26,0.1673,0.8181,0.6618,0.6722,0.3212,0.5895,0.5527,0.5702
27,0.1637,0.8234,0.6677,0.6778,0.3239,0.5921,0.5537,0.571
28,0.1597,0.8321,0.6735,0.6833,0.3264,0.5886,0.5544,0.5717
29,0.1554,0.8387,0.6791,0.6887,0.329,0.5838,0.5549,0.5721
30,0.1486,0.8513,0.6849,0.6941,0.3302,0.5873,0.5556,0.5726
