Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4423,0.3107,0.2011,0.3107,0.3969,0.3927,0.276,0.3927
2,0.3742,0.4515,0.3045,0.3811,0.3444,0.5115,0.3811,0.4521
3,0.3353,0.5161,0.3693,0.4261,0.3208,0.5359,0.4214,0.48
4,0.3156,0.5466,0.4097,0.4562,0.3085,0.5507,0.4474,0.4977
5,0.3023,0.5735,0.4403,0.4797,0.3016,0.5651,0.4697,0.5112
6,0.2944,0.5856,0.4636,0.4973,0.2968,0.5716,0.4862,0.5213
7,0.2868,0.6011,0.4819,0.5122,0.2943,0.5651,0.4947,0.5275
8,0.2778,0.6141,0.4977,0.5249,0.2898,0.5825,0.5034,0.5344
9,0.2691,0.6357,0.5124,0.5372,0.288,0.579,0.5107,0.5394
10,0.2647,0.6458,0.5254,0.5481,0.2852,0.5903,0.5177,0.5444
11,0.2577,0.6566,0.5367,0.5579,0.2841,0.5951,0.5239,0.5491
12,0.251,0.673,0.5477,0.5675,0.2836,0.5916,0.5283,0.5526
13,0.245,0.6808,0.5576,0.5762,0.2827,0.589,0.5324,0.5554
14,0.2389,0.6903,0.5667,0.5844,0.2824,0.5951,0.5359,0.5582
15,0.2297,0.7088,0.5759,0.5927,0.2814,0.5943,0.5392,0.5606
16,0.2266,0.7145,0.5842,0.6003,0.2818,0.599,0.5423,0.563
17,0.2206,0.7286,0.5925,0.6078,0.2815,0.596,0.5452,0.565
18,0.2164,0.7337,0.6001,0.6148,0.2826,0.5921,0.5472,0.5665
19,0.2095,0.7461,0.6077,0.6217,0.2831,0.5938,0.549,0.5679
20,0.2036,0.7592,0.6151,0.6286,0.2835,0.596,0.5508,0.5693
21,0.198,0.7657,0.6222,0.6351,0.2854,0.5912,0.552,0.5704
22,0.1947,0.7739,0.6289,0.6415,0.2839,0.5986,0.5537,0.5717
23,0.1878,0.7816,0.6355,0.6475,0.287,0.5943,0.5551,0.5726
24,0.1841,0.7916,0.6419,0.6535,0.2881,0.5956,0.5564,0.5736
25,0.1778,0.8033,0.6482,0.6595,0.2909,0.5908,0.5572,0.5743
26,0.1724,0.8106,0.6544,0.6653,0.2915,0.5947,0.5582,0.5751
27,0.1687,0.8158,0.6603,0.6709,0.2937,0.5921,0.5591,0.5757
28,0.1644,0.8243,0.6661,0.6764,0.2962,0.5943,0.5598,0.5764
29,0.1602,0.8301,0.6717,0.6817,0.2983,0.5908,0.5604,0.5769
30,0.1534,0.8451,0.6775,0.6871,0.2998,0.5934,0.5611,0.5774
