Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4416,0.3111,0.2023,0.3111,0.3964,0.4001,0.2887,0.4001
2,0.3729,0.4522,0.3068,0.3816,0.3466,0.502,0.3789,0.451
3,0.3321,0.5194,0.3727,0.4275,0.3294,0.5128,0.4092,0.4716
4,0.31,0.56,0.4161,0.4606,0.3225,0.5229,0.426,0.4844
5,0.2954,0.5843,0.4475,0.4854,0.3197,0.5446,0.4452,0.4965
6,0.2871,0.5968,0.4711,0.5039,0.318,0.5525,0.4603,0.5058
7,0.2794,0.6162,0.4908,0.52,0.318,0.5586,0.4702,0.5133
8,0.27,0.627,0.507,0.5334,0.3155,0.5607,0.4777,0.5193
9,0.2615,0.648,0.522,0.5461,0.3158,0.5629,0.4854,0.5241
10,0.2569,0.6626,0.5358,0.5577,0.3151,0.5664,0.4916,0.5283
11,0.2502,0.671,0.5475,0.568,0.3147,0.5677,0.4969,0.5319
12,0.2437,0.6848,0.5587,0.5778,0.3147,0.5786,0.5021,0.5358
13,0.2376,0.6936,0.5688,0.5867,0.3157,0.5707,0.5063,0.5385
14,0.2318,0.6996,0.5778,0.5948,0.3171,0.5747,0.5098,0.5411
15,0.2227,0.7216,0.5871,0.6032,0.3168,0.5716,0.5132,0.5431
16,0.2197,0.7254,0.5955,0.6108,0.3176,0.5764,0.5161,0.5452
17,0.2137,0.7419,0.6039,0.6186,0.3187,0.5694,0.5185,0.5466
18,0.2097,0.7451,0.6117,0.6256,0.3202,0.5712,0.5205,0.548
19,0.203,0.7569,0.6192,0.6325,0.3206,0.5725,0.5222,0.5493
20,0.1972,0.7692,0.6266,0.6393,0.3229,0.5747,0.524,0.5505
21,0.1916,0.7784,0.6338,0.646,0.3258,0.5799,0.5257,0.5519
22,0.1885,0.7838,0.6405,0.6522,0.3242,0.5777,0.5273,0.5531
23,0.1815,0.7919,0.647,0.6583,0.3269,0.5808,0.529,0.5543
24,0.1776,0.8022,0.6534,0.6643,0.3296,0.5777,0.5305,0.5553
25,0.1715,0.8116,0.6597,0.6702,0.3329,0.5799,0.5316,0.5563
26,0.1664,0.8168,0.6657,0.6758,0.3344,0.5742,0.5326,0.557
27,0.1623,0.8261,0.6715,0.6814,0.3372,0.576,0.5336,0.5577
28,0.1585,0.8342,0.6773,0.6868,0.3406,0.5764,0.5344,0.5583
29,0.1544,0.8409,0.683,0.6922,0.3428,0.5686,0.5348,0.5587
30,0.1474,0.8545,0.6887,0.6976,0.3445,0.5716,0.5354,0.5591
