Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.425,0.3275,0.2268,0.3275,0.3797,0.4232,0.3189,0.4232
2,0.3651,0.4518,0.3164,0.3897,0.3389,0.5229,0.4005,0.473
3,0.3288,0.5294,0.3788,0.4362,0.3152,0.5468,0.4406,0.4976
4,0.308,0.5719,0.4227,0.4702,0.3003,0.5681,0.4629,0.5152
5,0.2907,0.601,0.4558,0.4963,0.2892,0.5869,0.4865,0.5296
6,0.2782,0.6215,0.4818,0.5172,0.2829,0.5943,0.5023,0.5403
7,0.2677,0.6378,0.5025,0.5344,0.2767,0.6086,0.517,0.5501
8,0.2594,0.6534,0.5204,0.5493,0.2714,0.6243,0.5293,0.5594
9,0.25,0.6726,0.5363,0.563,0.2645,0.6421,0.5407,0.5686
10,0.2411,0.6894,0.551,0.5756,0.2586,0.6395,0.5494,0.5757
11,0.2316,0.7075,0.5647,0.5876,0.2537,0.65,0.5574,0.5824
12,0.2239,0.7206,0.5773,0.5987,0.2486,0.6648,0.5656,0.5893
13,0.2153,0.7335,0.5889,0.6091,0.2455,0.6687,0.5728,0.5954
14,0.2083,0.7489,0.6001,0.6191,0.2444,0.6722,0.5791,0.6009
15,0.2006,0.7597,0.6105,0.6284,0.2411,0.6735,0.5848,0.6057
16,0.1951,0.7656,0.6199,0.637,0.2403,0.6791,0.5899,0.6103
17,0.1875,0.7775,0.6289,0.6453,0.2389,0.6818,0.5948,0.6145
18,0.1833,0.7874,0.6375,0.6532,0.2378,0.6787,0.5992,0.6181
19,0.1787,0.7965,0.6457,0.6607,0.2365,0.6796,0.6031,0.6213
20,0.172,0.8048,0.6534,0.6679,0.2378,0.6831,0.6069,0.6244
21,0.1669,0.8156,0.661,0.6749,0.237,0.6831,0.61,0.6272
22,0.1612,0.8221,0.6682,0.6816,0.2368,0.6818,0.6129,0.6297
23,0.158,0.8295,0.6751,0.6881,0.2374,0.6861,0.6157,0.6321
24,0.1523,0.838,0.6818,0.6943,0.2378,0.6865,0.6184,0.6344
25,0.1481,0.8414,0.6881,0.7002,0.2388,0.6879,0.6208,0.6365
26,0.1452,0.8494,0.6942,0.7059,0.2391,0.6905,0.6232,0.6386
27,0.1398,0.8574,0.7002,0.7115,0.2411,0.6852,0.6252,0.6403
28,0.1344,0.8656,0.706,0.717,0.2409,0.6844,0.627,0.6419
29,0.1328,0.8693,0.7116,0.7223,0.2412,0.6879,0.6289,0.6435
30,0.127,0.8776,0.717,0.7275,0.2435,0.6905,0.6308,0.6451
