Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4372,0.3128,0.1816,0.3128,0.3924,0.4171,0.3085,0.4171
2,0.3708,0.455,0.2948,0.3839,0.3448,0.5085,0.3883,0.4628
3,0.3305,0.5377,0.3725,0.4351,0.3154,0.5612,0.4391,0.4956
4,0.3053,0.5798,0.424,0.4713,0.2982,0.5742,0.4688,0.5152
5,0.2886,0.6042,0.4594,0.4979,0.2874,0.5934,0.4906,0.5309
6,0.2761,0.6221,0.4858,0.5186,0.2785,0.6021,0.5072,0.5427
7,0.2634,0.6467,0.5082,0.5369,0.2716,0.6077,0.5188,0.552
8,0.2546,0.6613,0.5268,0.5525,0.2669,0.6147,0.5293,0.5599
9,0.2469,0.6752,0.5428,0.5661,0.2634,0.6186,0.5385,0.5664
10,0.2406,0.6888,0.557,0.5784,0.2614,0.636,0.5478,0.5734
11,0.2313,0.703,0.5699,0.5897,0.2583,0.6313,0.5544,0.5786
12,0.2249,0.7156,0.5816,0.6002,0.2581,0.6387,0.5601,0.5836
13,0.2188,0.7253,0.5924,0.6098,0.2548,0.6365,0.5651,0.5877
14,0.2117,0.7364,0.6024,0.6189,0.2538,0.653,0.5708,0.5924
15,0.205,0.7478,0.6119,0.6275,0.2534,0.6448,0.5748,0.5958
16,0.1996,0.7559,0.6206,0.6355,0.252,0.6561,0.5795,0.5996
17,0.1927,0.7702,0.6293,0.6434,0.25,0.6587,0.5835,0.6031
18,0.1861,0.7843,0.6378,0.6512,0.2495,0.6613,0.5873,0.6063
19,0.1814,0.7937,0.6459,0.6587,0.2473,0.663,0.5907,0.6093
20,0.1752,0.801,0.6536,0.6658,0.2468,0.6635,0.5941,0.612
21,0.1685,0.8136,0.6612,0.6729,0.2458,0.6709,0.5973,0.6148
22,0.1641,0.8193,0.6683,0.6795,0.244,0.6683,0.6003,0.6172
23,0.1595,0.8279,0.6752,0.686,0.2451,0.667,0.6029,0.6194
24,0.1521,0.8392,0.682,0.6924,0.2461,0.6678,0.6052,0.6214
25,0.1491,0.8385,0.6882,0.6982,0.2448,0.6735,0.6079,0.6235
26,0.1434,0.8502,0.6944,0.7041,0.2442,0.6674,0.6098,0.6252
27,0.1393,0.8558,0.7004,0.7097,0.2461,0.6713,0.612,0.6269
28,0.1328,0.8667,0.7063,0.7153,0.2475,0.6696,0.6137,0.6284
29,0.1318,0.869,0.7119,0.7206,0.2459,0.6696,0.6153,0.6298
30,0.1262,0.8789,0.7174,0.7259,0.2491,0.6722,0.6169,0.6313
