Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4322,0.3178,0.1943,0.3178,0.3868,0.4079,0.2874,0.4079
2,0.3735,0.4377,0.2834,0.3778,0.3511,0.5059,0.3822,0.4569
3,0.3388,0.5241,0.3567,0.4266,0.3218,0.5612,0.4343,0.4917
4,0.3091,0.5786,0.4102,0.4646,0.3006,0.5877,0.4685,0.5157
5,0.2896,0.6056,0.4481,0.4928,0.288,0.5977,0.4923,0.5321
6,0.2765,0.6277,0.4768,0.5153,0.2796,0.6108,0.51,0.5452
7,0.2662,0.6454,0.4997,0.5339,0.2738,0.6169,0.5239,0.5554
8,0.2566,0.6573,0.5184,0.5493,0.2689,0.6265,0.5349,0.5643
9,0.2486,0.6729,0.5347,0.563,0.2642,0.6339,0.5444,0.5721
10,0.2402,0.6882,0.5494,0.5755,0.2605,0.6395,0.5527,0.5788
11,0.2334,0.7033,0.5627,0.5871,0.2584,0.6456,0.5599,0.5849
12,0.2256,0.7162,0.5749,0.5979,0.2558,0.6461,0.5661,0.59
13,0.2182,0.7269,0.5861,0.6078,0.2522,0.6578,0.5723,0.5952
14,0.2107,0.7469,0.5972,0.6178,0.2491,0.667,0.5783,0.6003
15,0.2021,0.7561,0.6075,0.627,0.246,0.6726,0.584,0.6051
16,0.1961,0.766,0.6173,0.6357,0.245,0.6774,0.5892,0.6097
17,0.1893,0.7764,0.6265,0.6439,0.2444,0.6739,0.5937,0.6134
18,0.1836,0.7859,0.6352,0.6518,0.2434,0.6805,0.5982,0.6172
19,0.1773,0.7956,0.6434,0.6594,0.2438,0.6713,0.6016,0.62
20,0.1708,0.8053,0.6514,0.6667,0.2421,0.6783,0.6051,0.6229
21,0.1664,0.8153,0.659,0.6738,0.2421,0.6787,0.6083,0.6256
22,0.1614,0.8199,0.6663,0.6804,0.2428,0.6796,0.6111,0.628
23,0.1555,0.8325,0.6735,0.687,0.243,0.6778,0.6136,0.6302
24,0.152,0.8379,0.6802,0.6933,0.2445,0.677,0.6159,0.6321
25,0.1473,0.8455,0.6868,0.6994,0.2455,0.6831,0.6182,0.6342
26,0.1438,0.8528,0.6931,0.7053,0.2463,0.6778,0.6202,0.6359
27,0.1374,0.8609,0.6993,0.7111,0.247,0.6848,0.6224,0.6377
28,0.1329,0.8658,0.7052,0.7166,0.2499,0.6826,0.6242,0.6393
29,0.13,0.8697,0.7109,0.7219,0.2544,0.6852,0.6261,0.6409
30,0.1264,0.8771,0.7164,0.727,0.2505,0.687,0.6278,0.6424
