Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4347,0.3202,0.2229,0.3202,0.3841,0.4345,0.3267,0.4345
2,0.3629,0.4622,0.318,0.3912,0.337,0.5372,0.4264,0.4859
3,0.3237,0.546,0.3906,0.4428,0.3114,0.5664,0.4721,0.5127
4,0.3013,0.581,0.4363,0.4774,0.2958,0.5838,0.4978,0.5305
5,0.2875,0.6074,0.469,0.5034,0.2877,0.5999,0.5158,0.5444
6,0.2772,0.6244,0.4935,0.5235,0.2814,0.5864,0.5253,0.5514
7,0.268,0.6368,0.5124,0.5397,0.276,0.6064,0.5352,0.5592
8,0.2602,0.6501,0.5284,0.5535,0.2721,0.616,0.5433,0.5663
9,0.2524,0.6674,0.5427,0.5662,0.2693,0.6221,0.5502,0.5725
10,0.2459,0.679,0.5554,0.5775,0.2651,0.6295,0.557,0.5782
11,0.2372,0.6939,0.5671,0.588,0.2631,0.626,0.5619,0.5826
12,0.2298,0.7102,0.5783,0.5982,0.259,0.633,0.5666,0.5868
13,0.2232,0.7189,0.5883,0.6075,0.2554,0.6461,0.5718,0.5913
14,0.2139,0.7357,0.5982,0.6167,0.2534,0.6574,0.5771,0.5961
15,0.2061,0.7509,0.6078,0.6256,0.2504,0.6613,0.5821,0.6004
16,0.2009,0.7594,0.6167,0.634,0.249,0.6626,0.5865,0.6043
17,0.1933,0.7737,0.6256,0.6422,0.2474,0.6661,0.5907,0.6079
18,0.1871,0.7846,0.6341,0.6501,0.2452,0.6683,0.5944,0.6113
19,0.1812,0.7946,0.6421,0.6577,0.2439,0.6717,0.5979,0.6145
20,0.1753,0.8021,0.6498,0.6649,0.2444,0.6704,0.6011,0.6173
21,0.1689,0.8119,0.6573,0.6719,0.2433,0.6713,0.6039,0.6198
22,0.1644,0.8207,0.6644,0.6787,0.2432,0.6717,0.6065,0.6222
23,0.1595,0.8279,0.6713,0.6852,0.2422,0.67,0.6089,0.6243
24,0.1529,0.8389,0.6781,0.6916,0.2432,0.6735,0.6113,0.6263
25,0.1503,0.8416,0.6845,0.6976,0.2427,0.6735,0.6134,0.6282
26,0.1443,0.8514,0.6907,0.7035,0.2451,0.6713,0.6154,0.6299
27,0.1387,0.8606,0.6969,0.7093,0.244,0.6752,0.6173,0.6315
28,0.1348,0.8652,0.7027,0.7149,0.2452,0.6774,0.6192,0.6332
29,0.1317,0.8699,0.7084,0.7202,0.2469,0.6778,0.6211,0.6347
30,0.1264,0.8767,0.7139,0.7255,0.2485,0.6735,0.6225,0.636
