Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4361,0.3038,0.201,0.3038,0.3889,0.4031,0.2762,0.4031
2,0.3743,0.4313,0.2857,0.3676,0.3523,0.4815,0.379,0.4423
3,0.3425,0.501,0.3499,0.4121,0.3282,0.5198,0.4196,0.4681
4,0.3158,0.5616,0.4033,0.4494,0.3062,0.5646,0.4571,0.4923
5,0.295,0.5946,0.443,0.4785,0.2924,0.5799,0.481,0.5098
6,0.2804,0.6178,0.4729,0.5017,0.2852,0.596,0.5005,0.5242
7,0.2722,0.6305,0.4955,0.5201,0.2794,0.6012,0.5134,0.5352
8,0.2627,0.6533,0.5152,0.5367,0.2759,0.6091,0.5244,0.5444
9,0.2533,0.6672,0.532,0.5512,0.2704,0.6269,0.5353,0.5536
10,0.2459,0.6853,0.5472,0.5646,0.2661,0.6352,0.5447,0.5617
11,0.2405,0.6904,0.56,0.5761,0.2624,0.6382,0.5526,0.5687
12,0.2304,0.7076,0.5722,0.587,0.2594,0.6439,0.5599,0.575
13,0.2253,0.7166,0.5831,0.597,0.258,0.6434,0.5662,0.5802
14,0.2178,0.7304,0.5934,0.6065,0.2558,0.6482,0.5717,0.5851
15,0.2117,0.7414,0.6031,0.6155,0.2546,0.6439,0.5762,0.589
16,0.2056,0.7498,0.6121,0.6239,0.2549,0.6448,0.5804,0.5925
17,0.2004,0.7565,0.6205,0.6317,0.2543,0.6469,0.5841,0.5957
18,0.1929,0.7772,0.6291,0.6398,0.2535,0.6543,0.5877,0.5989
19,0.1887,0.7785,0.6368,0.6471,0.2529,0.6535,0.5909,0.6018
20,0.1828,0.7888,0.6443,0.6542,0.2526,0.6587,0.594,0.6047
21,0.1778,0.7963,0.6514,0.661,0.254,0.6578,0.5968,0.6072
22,0.1716,0.8046,0.6583,0.6675,0.2547,0.6569,0.5994,0.6095
23,0.1695,0.81,0.6648,0.6737,0.2549,0.6582,0.6017,0.6116
24,0.1638,0.819,0.6712,0.6797,0.2565,0.6587,0.6038,0.6135
25,0.1591,0.8308,0.6775,0.6858,0.2579,0.6604,0.6059,0.6154
26,0.1548,0.8359,0.6835,0.6915,0.2583,0.6543,0.6076,0.6169
27,0.152,0.8379,0.6892,0.697,0.2602,0.6526,0.609,0.6182
28,0.1461,0.8509,0.6949,0.7025,0.2613,0.6508,0.6103,0.6194
29,0.1412,0.8548,0.7003,0.7077,0.2628,0.6552,0.6117,0.6206
30,0.1369,0.8623,0.7056,0.7129,0.2644,0.6613,0.6132,0.622
