Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.432,0.3148,0.2087,0.3148,0.3882,0.4053,0.2781,0.4053
2,0.3685,0.4603,0.3206,0.3875,0.34,0.529,0.4071,0.4671
3,0.3273,0.5404,0.3924,0.4385,0.3135,0.5664,0.4593,0.5002
4,0.3065,0.5715,0.4355,0.4717,0.299,0.5742,0.4847,0.5187
5,0.2911,0.5975,0.4659,0.4969,0.2881,0.5882,0.5026,0.5326
6,0.2769,0.6185,0.4898,0.5172,0.2798,0.6008,0.516,0.544
7,0.2668,0.6414,0.5102,0.5349,0.2739,0.6064,0.5259,0.5529
8,0.2574,0.6565,0.5275,0.5501,0.268,0.6182,0.5351,0.5611
9,0.2489,0.6707,0.5424,0.5635,0.2649,0.6286,0.5442,0.5686
10,0.2415,0.6893,0.5563,0.5761,0.2603,0.6378,0.5525,0.5755
11,0.2336,0.698,0.5685,0.5872,0.2575,0.6434,0.5598,0.5817
12,0.2259,0.7141,0.58,0.5977,0.255,0.6495,0.5663,0.5873
13,0.2179,0.7243,0.5905,0.6075,0.2551,0.6474,0.5715,0.5919
14,0.2114,0.7397,0.6008,0.6169,0.2523,0.6526,0.5765,0.5963
15,0.2048,0.7545,0.6108,0.6261,0.2502,0.6556,0.5812,0.6002
16,0.1984,0.7637,0.6201,0.6347,0.2488,0.6596,0.5857,0.6039
17,0.1914,0.771,0.6287,0.6427,0.2475,0.6678,0.5902,0.6077
18,0.1852,0.7842,0.6371,0.6506,0.2452,0.6648,0.5939,0.6109
19,0.1787,0.7947,0.6452,0.6582,0.2448,0.6691,0.5976,0.6139
20,0.1725,0.8037,0.653,0.6654,0.2423,0.6757,0.6013,0.617
21,0.1659,0.8156,0.6607,0.6726,0.2429,0.6774,0.6047,0.6199
22,0.1617,0.8235,0.668,0.6794,0.2422,0.6865,0.6083,0.6229
23,0.1569,0.835,0.6752,0.6862,0.2416,0.6887,0.6116,0.6258
24,0.151,0.8396,0.6819,0.6926,0.2439,0.6791,0.6141,0.628
25,0.1454,0.848,0.6885,0.6988,0.2455,0.6791,0.6164,0.6301
26,0.1417,0.8542,0.6948,0.7048,0.2428,0.6922,0.6192,0.6324
27,0.1371,0.8622,0.701,0.7106,0.2452,0.6839,0.6213,0.6344
28,0.1322,0.8672,0.7069,0.7162,0.2468,0.6839,0.6233,0.6361
29,0.1278,0.8734,0.7126,0.7216,0.2451,0.68,0.625,0.6376
30,0.1251,0.8765,0.718,0.7268,0.2476,0.6844,0.6268,0.6392
