Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4348,0.3026,0.1928,0.3026,0.3921,0.4092,0.3125,0.4092
2,0.3738,0.4521,0.3056,0.3774,0.3454,0.5024,0.3814,0.4558
3,0.3347,0.5314,0.3746,0.4287,0.3183,0.5468,0.4384,0.4861
4,0.3089,0.5744,0.4213,0.4652,0.302,0.5694,0.4678,0.507
5,0.2932,0.597,0.4542,0.4915,0.2916,0.5803,0.488,0.5216
6,0.2804,0.6189,0.48,0.5127,0.2839,0.5869,0.502,0.5325
7,0.2707,0.6325,0.5003,0.5299,0.2791,0.6143,0.517,0.5442
8,0.2612,0.653,0.5182,0.5452,0.2733,0.6173,0.5275,0.5533
9,0.2513,0.6716,0.5343,0.5593,0.2678,0.6282,0.5375,0.5617
10,0.2429,0.6872,0.5489,0.5721,0.2621,0.6478,0.5478,0.5703
11,0.2323,0.7064,0.5627,0.5843,0.2578,0.6574,0.5572,0.5782
12,0.2258,0.7194,0.5752,0.5955,0.2542,0.6613,0.5651,0.5851
13,0.216,0.7335,0.5869,0.6061,0.2514,0.6652,0.5721,0.5913
14,0.2097,0.7443,0.5977,0.616,0.2509,0.663,0.5777,0.5964
15,0.202,0.7551,0.6079,0.6253,0.2487,0.6635,0.5828,0.6009
16,0.1943,0.7684,0.6176,0.6342,0.2476,0.6678,0.5876,0.6051
17,0.1886,0.7759,0.6266,0.6426,0.2454,0.6709,0.592,0.6089
18,0.1827,0.7883,0.6354,0.6507,0.2461,0.6687,0.5958,0.6122
19,0.1771,0.7956,0.6436,0.6583,0.2447,0.6726,0.5995,0.6154
20,0.1707,0.8083,0.6516,0.6658,0.2464,0.6765,0.603,0.6185
21,0.1653,0.8159,0.6593,0.6729,0.2458,0.6752,0.6061,0.6212
22,0.1591,0.826,0.6667,0.6799,0.246,0.6822,0.6093,0.624
23,0.156,0.8314,0.6737,0.6865,0.2479,0.6765,0.6118,0.6262
24,0.1529,0.837,0.6804,0.6928,0.2502,0.6787,0.6142,0.6284
25,0.1455,0.8457,0.6868,0.6989,0.2492,0.6778,0.6164,0.6304
26,0.1426,0.8519,0.6931,0.7048,0.2494,0.6735,0.6183,0.6321
27,0.1375,0.8596,0.6991,0.7105,0.2501,0.6774,0.6201,0.6337
28,0.132,0.8711,0.7052,0.7162,0.2507,0.6791,0.622,0.6354
29,0.1287,0.8709,0.7109,0.7216,0.2509,0.6722,0.6234,0.6366
30,0.1264,0.8748,0.7162,0.7267,0.2535,0.6822,0.6252,0.6382
