Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4397,0.302,0.1808,0.302,0.4038,0.3909,0.2597,0.3909
2,0.3839,0.4161,0.2494,0.3591,0.359,0.4497,0.3089,0.4203
3,0.3463,0.4824,0.3171,0.4002,0.3292,0.5146,0.3847,0.4517
4,0.3198,0.548,0.3806,0.4372,0.3067,0.5712,0.4401,0.4816
5,0.2972,0.589,0.427,0.4675,0.2923,0.5855,0.4723,0.5024
6,0.2834,0.6103,0.4604,0.4913,0.2851,0.5986,0.4946,0.5184
7,0.273,0.6293,0.4856,0.511,0.2797,0.6043,0.5105,0.5307
8,0.266,0.6372,0.5053,0.5268,0.2768,0.6082,0.5221,0.5404
9,0.2575,0.6533,0.522,0.5409,0.2727,0.6134,0.5323,0.5485
10,0.2482,0.6681,0.537,0.5536,0.2705,0.6147,0.5407,0.5551
11,0.242,0.6799,0.5501,0.5651,0.2703,0.6195,0.5472,0.561
12,0.2382,0.6899,0.5619,0.5755,0.2669,0.6217,0.5532,0.566
13,0.2302,0.7058,0.5731,0.5855,0.2659,0.6295,0.5589,0.5709
14,0.2243,0.7187,0.5835,0.595,0.2658,0.6252,0.5633,0.5748
15,0.2184,0.7249,0.593,0.6037,0.2644,0.6278,0.5674,0.5783
16,0.2118,0.7384,0.6021,0.6121,0.2645,0.6334,0.5713,0.5818
17,0.2071,0.7499,0.6108,0.6202,0.2651,0.6317,0.5747,0.5847
18,0.2019,0.7573,0.6189,0.6278,0.2643,0.6308,0.5777,0.5873
19,0.1945,0.7718,0.627,0.6354,0.2655,0.6352,0.5805,0.5898
20,0.1915,0.7754,0.6343,0.6424,0.2655,0.6339,0.583,0.592
21,0.1871,0.7834,0.6414,0.6491,0.2664,0.6378,0.5855,0.5942
22,0.1807,0.7911,0.6482,0.6556,0.2679,0.633,0.5876,0.5959
23,0.1752,0.8036,0.6549,0.662,0.2671,0.6382,0.5896,0.5978
24,0.1717,0.8125,0.6615,0.6683,0.2728,0.6347,0.5913,0.5993
25,0.1677,0.8184,0.6677,0.6743,0.271,0.6378,0.593,0.6009
26,0.1627,0.825,0.6737,0.6801,0.2699,0.6391,0.5947,0.6023
27,0.1575,0.8352,0.6797,0.6858,0.2721,0.6408,0.5962,0.6038
28,0.1516,0.8436,0.6856,0.6914,0.2741,0.6426,0.5977,0.6051
29,0.1482,0.8496,0.6912,0.6969,0.2775,0.6404,0.5991,0.6064
30,0.1444,0.8545,0.6966,0.7022,0.2795,0.6374,0.6002,0.6074
