Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.428,0.3153,0.1889,0.3153,0.3902,0.394,0.2613,0.394
2,0.3696,0.4498,0.3006,0.3825,0.3438,0.522,0.3953,0.458
3,0.3316,0.5311,0.3769,0.4321,0.3162,0.5555,0.4458,0.4905
4,0.3083,0.5752,0.4265,0.4678,0.302,0.5694,0.4731,0.5102
5,0.2921,0.6004,0.4606,0.4943,0.2916,0.5768,0.4918,0.5236
6,0.2806,0.6147,0.4852,0.5144,0.2856,0.5855,0.5043,0.5339
7,0.2715,0.6354,0.5058,0.5317,0.279,0.5912,0.5145,0.5421
8,0.2634,0.6434,0.5223,0.5456,0.2755,0.603,0.5241,0.5497
9,0.2546,0.6596,0.5369,0.5583,0.2703,0.6156,0.533,0.557
10,0.2471,0.6766,0.5504,0.5701,0.2676,0.6191,0.5401,0.5632
11,0.2402,0.6868,0.5624,0.5807,0.2649,0.6208,0.5461,0.5684
12,0.2325,0.7031,0.5738,0.5909,0.2639,0.6239,0.5512,0.5731
13,0.2245,0.713,0.5843,0.6003,0.2613,0.6308,0.5562,0.5775
14,0.2186,0.7252,0.5941,0.6093,0.2611,0.6343,0.561,0.5816
15,0.2119,0.7362,0.6034,0.6177,0.2589,0.6443,0.566,0.5857
16,0.2064,0.7479,0.6124,0.6259,0.2573,0.6478,0.5706,0.5896
17,0.2011,0.7577,0.6208,0.6336,0.2564,0.6469,0.5746,0.593
18,0.196,0.7665,0.6289,0.641,0.2562,0.6491,0.5782,0.5961
19,0.1877,0.781,0.6368,0.6484,0.2559,0.6517,0.5816,0.599
20,0.1806,0.7926,0.6446,0.6556,0.2574,0.6487,0.5844,0.6015
21,0.1767,0.7978,0.6519,0.6624,0.2534,0.66,0.5877,0.6043
22,0.1699,0.8082,0.659,0.669,0.2547,0.6609,0.5906,0.6069
23,0.1662,0.8131,0.6657,0.6752,0.252,0.6578,0.5932,0.6091
24,0.1599,0.8264,0.6724,0.6815,0.254,0.667,0.5961,0.6115
25,0.1552,0.8325,0.6789,0.6876,0.2525,0.6652,0.5986,0.6137
26,0.1477,0.8418,0.6852,0.6935,0.2509,0.6665,0.601,0.6157
27,0.145,0.8466,0.6912,0.6992,0.2522,0.6657,0.6031,0.6175
28,0.1404,0.8553,0.6971,0.7048,0.2558,0.6665,0.6051,0.6193
29,0.1359,0.8613,0.7028,0.7102,0.2559,0.6678,0.6071,0.621
30,0.132,0.8689,0.7084,0.7155,0.256,0.667,0.6089,0.6225
