Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4248,0.3246,0.2173,0.3246,0.3826,0.3918,0.2578,0.3918
2,0.363,0.4614,0.3172,0.393,0.3367,0.5364,0.4061,0.4641
3,0.3267,0.5424,0.3896,0.4428,0.312,0.5581,0.4579,0.4954
4,0.3053,0.5663,0.4319,0.4737,0.2989,0.5559,0.478,0.5106
5,0.2903,0.5989,0.4644,0.4987,0.2892,0.5895,0.4997,0.5263
6,0.2794,0.6215,0.4897,0.5192,0.2826,0.6047,0.5172,0.5394
7,0.2668,0.6464,0.512,0.5374,0.2754,0.6125,0.5299,0.5498
8,0.2576,0.6635,0.5309,0.5531,0.2687,0.6352,0.5435,0.5605
9,0.2465,0.6798,0.5476,0.5672,0.2625,0.6539,0.556,0.5709
10,0.2372,0.7025,0.5632,0.5807,0.2583,0.6587,0.5665,0.5797
11,0.2276,0.7141,0.5771,0.5929,0.2552,0.6569,0.5747,0.5867
12,0.2195,0.7279,0.5897,0.6041,0.2541,0.6556,0.5813,0.5924
13,0.2149,0.7342,0.6008,0.6141,0.2514,0.6622,0.5874,0.5978
14,0.2068,0.7515,0.6116,0.6239,0.2508,0.6582,0.5923,0.6021
15,0.2001,0.7648,0.6218,0.6333,0.251,0.6582,0.5963,0.6059
16,0.1942,0.7681,0.631,0.6418,0.2493,0.663,0.6004,0.6094
17,0.1893,0.7798,0.6396,0.6499,0.2499,0.6613,0.604,0.6125
18,0.1831,0.7908,0.648,0.6577,0.2492,0.6635,0.6072,0.6153
19,0.1765,0.7984,0.6559,0.6651,0.2504,0.6622,0.6099,0.6178
20,0.1723,0.8068,0.6634,0.6722,0.2502,0.6609,0.6124,0.6199
21,0.1673,0.8132,0.6704,0.6789,0.2498,0.6657,0.6149,0.6221
22,0.1619,0.8233,0.6774,0.6855,0.2504,0.6613,0.6168,0.6239
23,0.1569,0.8283,0.6838,0.6917,0.2531,0.6661,0.6189,0.6257
24,0.1533,0.833,0.69,0.6976,0.2537,0.6674,0.6207,0.6275
25,0.146,0.8495,0.6963,0.7037,0.2535,0.6635,0.6223,0.6289
26,0.1423,0.8543,0.7024,0.7095,0.2555,0.6635,0.6238,0.6302
27,0.1391,0.8572,0.7081,0.7149,0.2564,0.6696,0.6254,0.6317
28,0.1357,0.8638,0.7136,0.7202,0.2564,0.6648,0.6267,0.6329
29,0.1294,0.8718,0.719,0.7255,0.2575,0.6678,0.628,0.6341
30,0.1273,0.8788,0.7243,0.7306,0.2598,0.6678,0.6293,0.6352
