Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4325,0.3103,0.2126,0.3103,0.3901,0.424,0.3002,0.424
2,0.3738,0.4423,0.2957,0.3763,0.3507,0.4798,0.3615,0.4519
3,0.3357,0.5281,0.3706,0.4269,0.3172,0.5625,0.4288,0.4888
4,0.3073,0.578,0.4222,0.4647,0.2995,0.579,0.4671,0.5113
5,0.2899,0.6091,0.4587,0.4936,0.2886,0.5925,0.4911,0.5276
6,0.2789,0.6265,0.4856,0.5157,0.2807,0.6012,0.5084,0.5398
7,0.2673,0.6461,0.5076,0.5343,0.2735,0.6121,0.5221,0.5502
8,0.2571,0.6632,0.5262,0.5505,0.2668,0.6334,0.5352,0.5606
9,0.2482,0.6802,0.5426,0.5649,0.2613,0.6439,0.5467,0.5698
10,0.2364,0.6994,0.5578,0.5783,0.2558,0.6548,0.557,0.5783
11,0.2289,0.7135,0.5715,0.5906,0.2527,0.6574,0.5655,0.5855
12,0.2221,0.7261,0.584,0.6019,0.2495,0.6596,0.5729,0.5917
13,0.2144,0.7373,0.5955,0.6123,0.2481,0.6587,0.5791,0.5968
14,0.2083,0.7452,0.6059,0.6218,0.2451,0.6648,0.5849,0.6017
15,0.2023,0.7577,0.6157,0.6309,0.2442,0.67,0.5901,0.6062
16,0.1966,0.7726,0.6253,0.6397,0.2437,0.6731,0.5949,0.6104
17,0.1903,0.7808,0.6343,0.648,0.2417,0.6648,0.5987,0.6136
18,0.183,0.7929,0.6429,0.6561,0.2406,0.6765,0.6026,0.6171
19,0.1786,0.7996,0.651,0.6636,0.2401,0.6765,0.6062,0.6202
20,0.1717,0.8098,0.6587,0.6709,0.2392,0.6783,0.6094,0.6231
21,0.1683,0.8185,0.6663,0.678,0.2385,0.6805,0.6126,0.6259
22,0.1625,0.8247,0.6734,0.6846,0.2413,0.6796,0.6152,0.6283
23,0.1575,0.8325,0.6802,0.6911,0.24,0.6765,0.6176,0.6304
24,0.1523,0.839,0.6868,0.6972,0.2416,0.6752,0.6198,0.6323
25,0.1463,0.8525,0.6933,0.7034,0.2386,0.6813,0.6221,0.6342
26,0.1418,0.8603,0.6997,0.7095,0.2409,0.6831,0.6242,0.6361
27,0.1361,0.866,0.7058,0.7153,0.2406,0.6818,0.6261,0.6378
28,0.1329,0.8697,0.7116,0.7208,0.2423,0.6778,0.6278,0.6392
29,0.1302,0.8739,0.7172,0.7261,0.2443,0.68,0.6294,0.6406
30,0.1239,0.8839,0.7227,0.7313,0.2434,0.6835,0.6311,0.6421
